episode,x,y,z,score,action
1,0.0,0.0,12.860989590755182,3.2552473976887555,[370.7294428546986]
2,0.0,0.0,12.086901025220877,3.0617252563051824,[379.27163182157665]
3,0.0,0.0,10.744224727887241,2.726056181971771,[359.78966164443057]
4,0.0,0.0,10.363977307673617,2.6309943269183673,[357.82434239229264]
5,0.0,0.0,9.382069682824536,2.385517420706096,[363.6878599516818]
6,0.0,0.0,10.365003777321425,2.6312509443303185,[368.1524292008047]
7,0.0,0.0,11.048507480699927,2.8021268701749413,[369.61463524633245]
8,0.0,0.0,13.58973487742854,3.437433719357097,[366.7584477692002]
9,0.0,0.0,14.577960171844953,3.6844900429611975,[364.8287725989166]
10,0.0,0.0,12.720900285399114,3.220225071349738,[354.3488020013116]
11,0.0,0.0,11.035476533619747,2.7988691334048994,[356.37959579271023]
12,0.0,0.0,9.59128302792977,2.4378207569824024,[352.4077674536924]
13,0.0,0.0,7.728241475684706,1.9720603689211416,[367.61478246780104]
14,0.0,0.0,7.468260973501555,1.9070652433753512,[371.9959923907348]
15,0.0,0.0,8.641989659530871,2.2004974148826832,[368.23100811022255]
16,0.0,0.0,11.474667368156135,2.908666842038997,[370.4518366361934]
17,0.0,0.0,14.61725363622188,3.694313409055429,[381.2386021991255]
18,0.0,0.0,17.679557030051978,4.459889257512959,[391.32845844138274]
19,0.0,0.0,20.75484838556527,5.2287120963912805,[395.60996256157796]
20,0.0,0.0,20.09551818400725,5.063879546001772,[384.3495928649073]
21,0.0,0.0,20.751729450734604,5.227932362683614,[384.0994384290604]
22,0.0,0.0,21.446339835224684,5.401584958806133,[394.75373430510047]
23,0.0,0.0,21.649463628856676,5.45236590721413,[398.0282020310842]
24,0.0,0.0,23.338542112190193,5.874635528047511,[412.6914868018386]
25,0.0,0.0,24.34147828749868,6.125369571874634,[416.74936227917624]
26,0.0,0.0,24.622144422071166,6.195536105517752,[417.51595857761976]
27,0.0,0.0,24.578460566090488,6.184615141522585,[422.06207629891145]
28,0.0,0.0,25.378876156298496,6.384719039074586,[430.3010857197293]
29,0.0,0.0,25.485087910298066,6.4112719775744775,[431.2865687672855]
30,0.0,0.0,25.065233355138933,6.306308338784694,[431.8307598746367]
31,0.0,0.0,26.665957398715147,6.706489349678748,[438.4386224877141]
32,0.0,0.0,25.779270437686392,6.484817609421562,[440.00728509619546]
33,0.0,0.0,25.674126691034605,6.458531672758614,[446.91340920463864]
34,0.0,0.0,26.28042420917741,6.6101060522943165,[456.7503520009232]
35,0.0,0.0,26.853279484834673,6.75331987120863,[465.4235436369565]
36,0.0,0.0,27.127660121551788,6.82191503038791,[471.8997474808175]
37,0.0,0.0,27.40735110952779,6.891837777381912,[463.479655947063]
38,0.0,0.0,27.087743970676996,6.811935992669209,[474.1098431754677]
39,0.0,0.0,26.466020166279332,6.656505041569794,[453.8817364293676]
40,0.0,0.0,25.96777335316846,6.531943338292079,[444.8032472176077]
41,0.0,0.0,25.110993349777473,6.31774833744433,[445.3629318172319]
42,0.0,0.0,24.270158306203147,6.107539576550746,[440.3857515351008]
43,0.0,0.0,23.256688927747515,5.85417223193684,[429.23471444617854]
44,0.0,0.0,23.208656456116618,5.842164114029115,[419.4823704802457]
45,0.0,0.0,22.6357427372913,5.698935684322786,[425.3547405658623]
46,0.0,0.0,21.81021311908625,5.492553279771526,[415.4466247499013]
47,0.0,0.0,22.057971749452708,5.55449293736314,[413.38234708868555]
48,0.0,0.0,23.2228362547941,5.845709063698488,[419.3495770438441]
49,0.0,0.0,22.097562500958954,5.564390625239701,[386.22430362979173]
50,0.0,0.0,24.31348431938813,6.118371079846995,[428.767384172858]
51,0.0,0.0,25.864110337202735,6.506027584300645,[435.00237745202236]
52,0.0,0.0,28.38590560188801,7.136476400471967,[462.9969669883213]
53,0.0,0.0,31.429950253965625,7.897487563491369,[517.5147986783185]
54,0.0,0.0,34.103260767584935,8.565815191896199,[540.814021148577]
55,0.0,0.0,32.32494232432005,8.121235581079974,[493.30878516338606]
56,0.0,0.0,30.603083084530194,7.690770771132515,[482.6491067470408]
57,0.0,0.0,35.406359949204756,8.89158998730115,[535.7702337389887]
58,0.0,0.0,33.90453163511513,8.51613290877874,[538.2134214416652]
59,0.0,0.0,33.70704981557625,8.466762453894026,[540.4847749830273]
60,0.0,0.0,35.55929741198694,8.929824352996695,[572.9875350091976]
61,0.0,0.0,36.65417358792875,9.20354339698215,[559.5257394192234]
62,0.0,0.0,37.55278542384067,9.428196355960127,[600.3649616307441]
63,0.0,0.0,37.01164468894627,9.292911172236526,[557.8549264741857]
64,0.0,0.0,35.0498240811581,8.802456020289489,[529.7562619390043]
65,0.0,0.0,33.23984891955183,8.349962229887918,[525.1926374253825]
66,0.0,0.0,33.810806244248546,8.492701561062098,[518.2972502431581]
67,0.0,0.0,33.123977458543564,8.320994364635851,[506.2822972925877]
68,0.0,0.0,31.432712097693404,7.898178024423318,[487.1208970242954]
69,0.0,0.0,30.486081977946803,7.661520494486663,[486.38349367380965]
70,0.0,0.0,33.22456956634621,8.346142391586518,[491.43995053829485]
71,0.0,0.0,31.199554205860096,7.839888551464984,[474.7350212267636]
72,0.0,0.0,33.10700738881696,8.3167518472042,[493.0418883540164]
73,0.0,0.0,34.846360008525686,8.751590002131383,[510.23171906910636]
74,0.0,0.0,32.76205670838769,8.23051417709688,[487.2573116207812]
75,0.0,0.0,31.35527599197545,7.878818997993825,[483.50969658003163]
76,0.0,0.0,33.222548259430205,8.345637064857513,[543.0367903696235]
77,0.0,0.0,34.41582972040364,8.643957430100873,[488.57875160313023]
78,0.0,0.0,32.89136664978585,8.262841662446423,[471.6259319410264]
79,0.0,0.0,32.33947349820883,8.124868374552173,[459.9934781826837]
80,0.0,0.0,35.17263093042001,8.833157732604967,[524.0215441755039]
81,0.0,0.0,38.410744788172835,9.642686197043172,[575.4103539282194]
82,0.0,0.0,40.29826094740061,10.114565236850112,[589.8060947349996]
83,0.0,0.0,41.03917195853694,10.299792989634197,[585.4229430439236]
84,0.0,0.0,40.46875233180901,10.157188082952215,[594.6174426589106]
85,0.0,0.0,42.439213692148854,10.649803423037175,[634.9608921768297]
86,0.0,0.0,42.075195159500886,10.558798789875187,[620.2251515652059]
87,0.0,0.0,42.805419063873515,10.741354765968344,[626.4062707485953]
88,0.0,0.0,41.25385712857645,10.353464282144076,[583.0905840005086]
89,0.0,0.0,37.69796012303239,9.46449003075806,[548.8999919784711]
90,0.0,0.0,37.8588154343636,9.504703858590862,[552.7832282815507]
91,0.0,0.0,39.49312194265346,9.913280485663329,[559.507769778854]
